,AG.LND.AGRI.K2,AG.LND.ARBL.HA.PC,AG.LND.ARBL.ZS,AG.LND.CROP.ZS,AG.LND.TOTL.K2,AG.PRD.CROP.XD,AG.PRD.FOOD.XD,AG.PRD.LVSK.XD,AG.SRF.TOTL.K2,AG.YLD.CREL.KG,BM.GSR.INSF.ZS,BM.GSR.TRVL.ZS,BX.GSR.CMCP.ZS,BX.KLT.DINV.WD.GD.ZS,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,EG.USE.COMM.KT.OE,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.PC,EN.ATM.PM10.MC.M3,ER.H2O.INTR.K3,ER.H2O.INTR.PC,FM.LBL.MQMY.GD.ZS,FS.AST.PRVT.GD.ZS,IC.CRD.PRVT.ZS,IC.EXP.DURS,IC.LGL.CRED.XQ,NE.RSB.GNFS.ZS,NE.TRD.GNFS.ZS,Corruption.Index
Iraq,98690,0.218939557,12.80380456,0.615039898,437370,129,123,150,438320,1329.5,25.43417156,13.1350707,80.68580137,2.226476306,3.39673267,3.747196326,34273,559.9451237,1232.981573,6.307000334,3.644038358,197.6580368,35.2,1376.191501,56.27806496,9.093500755,0,102,3,9.374416299,44.62390235,104.8
Iceland,22810,0.024561404,0.069825436,26.66666667,100250,134,109,111,103000,7237.9,3.076123878,44.69861687,31.06036242,33.67500196,2.97778052,2.97778052,5522,509.4805323,50067.10479,0.239653568,7.639762526,19.09728072,170,590277.7778,107.1822287,319.4676414,100,19,7,8.802042029,97.50636575,30.1
Israel/West Bank,5630,0.053120244,16.12754159,3.974121996,21640,115,124,135,22070,3306.5,3.887048825,24.85838504,68.46805858,10.48760312,9.182672964,8.54780026,22009,135.183023,7054.372811,0.526844383,10.20275198,47.87404522,0.75,114.1552511,101.4284134,99.56622297,100,12,9,2.43980847,86.66637513,84.4
Italy,155020,0.146347798,28.35333719,9.51344735,294140,105,101,103,301340,5444.4,7.707502655,27.69804118,41.24084391,2.093345949,11.99066628,9.817492686,183871,111.4749637,5754.519409,0.414524159,8.075223927,32.46513589,182.5,3192.937397,144.9780507,122.6490935,80.5,20,3,1.372548435,58.32810555,45.8
Jamaica,4790,0.053747164,12.92705448,10.15697138,10830,102,104,111,10990,1255.8,10.65991513,16.65262204,15.53659021,10.17302567,5.046203944,5.046203944,4932,254.1785971,2552.098839,1.350338062,5.21433291,42.99078823,9.404,3592.74772,66.9167644,29.2939251,0,21,8,-17.68021406,110.1162257,67.1
Jordan,10370,0.039508507,2.368540345,0.997280145,88240,157,156,152,88780,1524.8,8.239471786,33.51802381,35.46385286,22.65196525,4.546305452,4.186115469,7201,286.2058714,2096.423017,1.8495952,3.939231636,59.97863912,0.682,135.371179,126.7827991,88.31683761,0,28,4,-19.19239486,146.9127806,74.5
Japan,47930,0.03495112,12.1920439,0.957475995,364500,99,99,101,377940,6262.5,6.32765892,28.22711558,62.90649099,0.506632059,8.705682536,8.06324992,522474,140.4468116,8489.650409,0.264636099,9.889539249,32.90023711,430,3374.004473,225.3129121,193.0109256,76.2,10,7,1.931657919,34.94441466,31
Kenya,271000,0.159869381,9.329866114,0.878518466,569140,120,138,160,580370,1805.8,11.59322875,18.40569482,39.66485656,2.68290644,3.338772228,3.11913602,18021,348.0184533,156.5969196,0.770857051,0.340320016,38.30357888,20.7,628.6469113,46.66408399,34.69058594,3.3,45,10,-5.376727035,69.44031408,98.7
South Korea,19450,0.035665266,17.45916891,2.067397147,96920,102,101,106,99720,7072.8,1.997545474,28.28824299,44.07802788,1.28068101,5.782221913,5.465184462,228747,205.8166033,8853.087004,0.809303178,10.37868681,43.77146162,64.85,1361.765571,70.75593795,108.6747556,93.8,12,7,4.157818784,107.19535,38.8
Laos,22230,0.207572201,5.415944541,0.411611785,230800,157,148,136,236800,3807.5,-2.552964872,68.67092746,23.64608145,7.589355105,10.14916652,19.10099257,2586,267.4827313,25594.94793,0.68048883,0.259672568,46.98853764,190.4,34638.9652,29.58589836,19.90141188,0,66,4,-4.853748558,85.97715785,86.7
Liberia,26180,0.129282658,4.15282392,2.263289037,96320,115,131,127,111370,1553.4,0.754738888,2.508937926,69.03587284,90.74110111,13.38477972,3.394366498,70710,129.251926,2017.492042,1.65782794,0.231407691,50.05133261,200,66753.84719,35.32111632,16.02780917,0,20,4,-8.087688035,219.1791451,94
Luxembourg,1310,0.1404224,23.93822394,0.772200772,2590,124,103,99,2590,6396.6,61.86898737,15.6484645,23.58980029,524.8799719,10.82478241,8.920773681,4308,139.1711088,16414.28834,0.482165355,24.33172384,17.22697725,1,2241.273043,636.510236,184.7988157,0,6,7,32.86747266,324.3272626,26.1
Macedonia,75720,0.139162798,0.069825436,0.28047577,28,105,115,116,28,2803.2,5.094510062,31.94071649,3.041626749,27.07596189,18.48459426,19.10099257,37122,81.74779568,1473.892299,0.268465928,3.82823981,21.72209269,0.75,1216.813323,177.3346766,70.30181634,0,25,6,47.49192604,168.00745,71
Maldives,130,0.014399315,13.33333333,26.66666667,300,113,113,125,300,3916.6,4.749753429,41.21372175,4.227878625,11.0702365,5.306772478,5.244005653,299,206.8945943,812.6592812,1.001125099,2.957379447,39.212103,0.03,106.2827262,77.80991041,104.0695267,0,21,4,7.120709466,208.1596925,75.6
Mexico,1054000,0.247706634,12.91185473,1.409501273,1943950,116,120,123,1964380,3454.1,49.69366703,35.51113854,13.12245999,4.798072343,9.043600622,8.113117521,180605,131.5687477,2017.492042,0.699307269,4.313037029,42.92440222,409,3985.028259,29.39757912,24.52439063,77.5,13,5,-1.163362413,60.67698695,75.1
Mali,396790,0.39983509,4.056745261,0.106540785,1220190,162,183,153,1240190,1588.2,6.755972531,17.81398672,38.41827831,8.014311153,18.48459426,11.39519679,37122,131.5687477,187.4565183,0.201037825,0.046902532,212.3937219,60,4999.213874,30.15259786,20.02169813,0,44,3,-7.348328422,83.56392539,79.3
Malta,110,0.02508894,31.25,4.6875,320,104,100,101,320,4440,18.92563198,24.29363415,59.49867544,28.49539715,12.44305291,11.39519679,868,102.395542,4912.873263,0.658288168,6.677704123,50.88384907,0.0505,127.5352363,163.7215855,135.5201141,10.3,9,8,2.401229527,182.0194168,45.4
Nicaragua,53000,0.38765033,17.03506731,1.94449061,120340,130,136,149,130370,1902.2,10.43894204,30.13435701,26.84894666,9.825425838,4.335831554,4.03612851,3520,269.9898967,459.2253819,0.989935027,0.824517125,33.15587767,189.7,36342.91775,41.65912626,39.57900952,100,38,3,27.67653421,107.1980487,81.2
Norway,10470,0.195213827,2.895359537,0.016432233,305470,118,101,97,323800,4492.8,8.140709551,35.50926382,45.03157351,3.961913773,10.14916652,8.609348618,29670,133.2483601,25594.94793,0.256689493,10.57845974,16.48635401,382,84178.05201,54.06418534,87.03943362,100,7,7,19.11415289,78.13989987,20.4
Pakistan,272900,0.145624185,28.02770859,1.106527605,770880,125,132,135,796100,2803.2,5.399375279,28.08136005,72.99531981,3.904417004,5.085584708,4.682669265,84302,238.5690484,472.6235465,1.500633539,0.950259173,169.659531,55,365.6738816,46.37045145,29.84178466,1.5,31,6,1.033670296,38.45683017,102.3
Panama,22300,0.181900562,7.371536185,1.97740113,74340,118,116,116,75420,2735,20.80470301,16.39670556,15.34257074,14.92151485,14.89968765,13.71923061,2899,114.6540128,1642.454529,0.599107057,2.324179331,59.1709864,147.4,48026.74901,86.36238715,108.5650642,53,9,6,16.34254011,157.7351141,57.8
Peru,214400,0.139162798,2.8515625,0.6171875,1280000,145,153,158,1285220,3910.2,10.89414676,24.74468704,22.39484831,5.459313769,16.7430027,15.41650541,14710,81.74779568,1045.977109,0.568196106,1.524993008,70.67818656,1616,60799.30316,33.89298054,25.2099619,33.3,22,7,8.674984289,54.52191354,73.6
Papua New Guinea,11100,0.041225981,0.596210749,1.435322175,452860,112,119,127,462840,4129,15.43978784,7.131429978,93.8579956,5.347649631,7.766245709,5.123685897,401,206.8945943,2552.098839,1.215002346,0.756190573,29.41400234,801,141520.7848,49.26450428,32.00965181,0.6,26,5,16.29286006,149.0826013,84.2
Poland,177880,0.355155119,44.63282405,1.327855382,306330,102,111,114,312690,3537.5,8.018289283,38.98739824,41.55788177,5.817307865,7.71704054,6.815768978,97881,196.1766152,3731.571613,1.745457541,8.362749355,39.03800506,53.6,1406.065388,53.30835382,54.85763502,91.7,17,9,0.09951204,84.38861472,46.8
North Korea,30000,0.116056274,22.83863466,1.660991612,120410,112,115,133,120540,3697.5,14.13884207,14.32859716,56.21445055,3.802033605,4.197189165,4.219467766,21656,191.258008,812.433586,0.658288168,3.557609987,92.03160445,67,2879.91494,70.75593795,89.88921527,11.4,17,7,-0.519781891,47.78225048,95.6
Qatar,660,0.021379575,1.121656601,0.258843831,11590,121,110,125,11590,4134.1,-2.552964872,71.01971853,56.21445055,8.264137051,4.847422674,4.463376087,24118,335.6663894,17223.05655,2.146010053,69.1530428,57.88958858,0.056,89.7187158,58.98547188,51.46418823,0,21,3,36.81704261,100.3427674,49.5
Russia,2168610,0.856984854,7.561457446,0.113427967,16381390,144,130,118,17098240,2388.1,5.566413878,48.02087309,44.19666642,4.515915292,4.191003952,3.052344359,686757,472.7418012,6435.406833,5.281083464,10.97155874,25.73394345,4313,30351.86488,47.71674276,46.17730146,14.4,36,3,13.69288344,61.11073841,77.7
Rwanda,20200,0.129828212,52.29023105,11.34981759,24670,132,134,158,26340,1183.5,6.057665033,25.42936164,50.92310662,2.255275031,1.796088118,3.052344359,7201,133.2483601,951.2577382,0.365934873,0.081451414,41.60211774,9.5,1092.408817,17.2852655,11.20635857,0,63,8,-13.63890005,44.62390235,91
Saudi Arabia,1737980,0.174067972,1.8,0.115,2.00E+06,130,134,135,2.00E+06,5211.9,14.41211776,32.18087733,100,9.782999926,3.704778459,3.817058996,161600,300.3104294,7136.109456,1.703567199,15.76684289,148.087652,2.4,111.8199669,70.72240384,52.53976349,18,17,5,33.08386398,104.8779409,75.2
Senegal,91540,0.318685385,18.17898509,0.28047577,192530,130,134,148,196720,1201.1,14.13884207,20.39938805,53.05853746,3.010071475,7.683453171,7.074716495,2859,172.4627017,187.4565183,0.950797851,0.50855618,108.3902584,25.8,2574.029795,37.53442934,25.89430285,0,20,3,-9.038000353,79.13287817,76.8
Slovenia,16750,0.127096661,37.11389961,13.51351351,20720,109,120,131,21040,2905.3,13.87125544,25.29842938,26.22228539,3.285174079,8.556316473,7.878425486,4964,134.6332023,953.8914923,0.45584835,1.097241901,41.18406283,17.75,2964.146519,50.13837513,43.00499101,95,22,5,-14.71059014,74.04039971,35.5
Somalia,443770,0.165220498,2.151943125,0.043038862,627340,114,108,107,637660,812.6,9.295781662,14.20352274,41.55788177,3.904417004,4.191003952,3.052344359,59238,261.5261359,1221.853727,1.390271458,0.07336226,46.26015279,6,770.0942621,65.91821484,26.80275152,0,26,9,-11.34178851,71.67262171,113.4
Sao Tome,560,0.059875857,9.375,48.95833333,960,111,112,126,960,2454.5,7.348012025,4.448735854,18.93295245,33.20186428,5.905217527,5.555799119,44,198.9013994,271.2584031,0.493861189,0.840245836,50.4084542,2.18,14955.9896,36.06144042,39.67189438,0,27,2,-13.63890005,39.36229587,74.5
Suriname,860,0.120397693,0.365384615,0.051282051,156000,111,115,130,163820,4252.7,2.498063517,15.18202943,70.7708406,1.55569504,4.971035376,4.676893584,714,228.3672976,2869.801332,2.427592283,4.825702646,42.55749265,88,183282.9305,52.07919072,29.05082546,0,25,5,-14.73737805,77.99853923,71.1
Switzerland,12240,0.165568612,10.34883721,0.813953488,17200,111,118,144,17360,1414.6,32.33268546,14.20352274,84.28466855,7.840038887,13.04100334,12.34954892,423,85.13970687,951.2577382,0.759824364,1.063329994,37.42504718,2.64,2438.175174,30.04452251,25.12018208,43.5,21,6,-0.982642421,209.4103007,23.2
Seychelles,50,0.012314968,2.173913043,8.695652174,460,98,98,99,460,1183.5,9.760434076,16.48090286,10.79028908,39.39149907,8.860874172,8.336566214,256,191.258008,2621.335246,1.390271458,9.370957576,39.212103,2.18,1911.836799,117.357419,37.79827269,0,17,4,11.15203024,256.3617871,67
Syria,139040,0.281678568,25.91382034,5.265737312,183780,128,141,154,185180,2269.7,14.68253968,40.36112586,25.31930879,4.764198491,4.88473406,4.497731405,19701,267.4827313,1594.325147,3.372705372,4.202291139,94.60651678,7.132,420.4465293,77.77095272,22.5243319,0,49,1,7.530136657,80.1328961,85.9
Turkmenistan,326550,0.393598547,4.021875598,0.144702402,469930,135,145,130,488100,3288.4,8.239471786,23.14858642,28.87466401,20.92890104,1.796088118,1.653789507,18814,1201.102092,2334.094763,11.3345673,9.420079636,89.17600943,1.36,295.6461967,14.52096668,1.898672442,0,80,3,38.17039684,158.2563189,79.7
Tunisia,98810,0.286759841,18.24794027,14.19927909,155360,141,130,111,163610,1791.4,9.295781662,19.17073171,22.29046291,10.56210703,8.991640016,8.279259666,9178,141.2560402,1297.911685,1.019594557,2.33239538,46.1477105,4.195,428.8532903,60.52071851,68.75706511,0,16,3,-0.407758049,124.6317429,70.1
Turkey,412230,0.368750975,31.17601965,3.833010667,769630,112,119,125,783560,2807.7,16.46441456,30.51452686,25.82381515,3.802033605,11.09284867,9.258742155,100005,119.3893962,2405.457243,0.777180697,4.121065675,54.67838574,227,3468.499644,51.5454124,43.89754226,42.9,20,4,4.125533509,52.24859536,74.9
Uganda,130120,0.204129165,28.66565195,11.41552511,197100,109,112,120,241040,1677.5,12.39847984,22.08039792,38.07116972,6.649080957,4.191003952,5.260248221,5522,185.9885487,2237.092819,0.311296042,0.105548684,19.01454512,39,1511.956259,23.40588229,15.81136089,1.1,42,7,-7.697763558,58.90629092,96.3
Ukraine,413960,0.702016075,56.17426727,1.594890826,579380,169,127,106,603550,3487.3,14.42394239,37.19420115,29.09048289,9.064101556,2.480082182,2.283592798,144616,675.5707328,3534.357152,8.951996991,7.056194106,31.85461439,53.1,1141.705915,54.9094457,73.72852527,10.1,31,9,7.513481092,114.9090298,69
United States,4169020,0.615261574,19.28329433,0.297972477,9161920,112,115,108,9831510,7237.9,20.32699697,29.44960629,47.6902477,2.16895271,6.465565462,5.898834635,2336546,197.5957945,13693.62272,0.562036035,19.76937321,24.70674306,2818,9791.385804,88.04344513,213.4173851,100,6,8,-2.750660429,30.7563178,34.8
Uzbekistan,273300,0.179637121,10.57827927,0.81100141,425400,149,155,137,447400,4577.5,12.8901623,2.508937926,25.53822498,3.160716907,1.442053275,1.32780377,53181,1219.635798,1775.773787,8.434267124,4.97671175,82.92228187,16.34,646.5704857,29.49374778,108.2334931,3.3,80,2,9.19307423,84.30935032,88.3
Venezuela,213980,0.104906118,3.061050961,0.906978062,882050,116,122,128,912050,3826.4,8.805384184,25.0127486,31.612529,2.996507976,5.56454816,5.123685897,64097,262.3628926,3074.458565,1.884855356,7.656772086,11.71439588,722.4,28643.93339,28.29902631,23.79224924,0,49,2,19.18997573,60.12732976,78.2
